name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J0854+2908,133.6171,29.1425,20.71,uNQ,,,RN,coadd2d; uNQ in mosfire-2201,lris-2204,1.145573,92.01343,5.825679,3.094136,7.259589,0.614885,0.13596918,0.20430827,-1.0,-1.0,21.24,-1.0,-1.0
J0954-0117,148.5633,-1.2986,20.29,star,T,,RN,,lris-2204,1.087003,107.38377,15.166682,2.90811,17.065231,0.683245,0.11863975,-1.0,0.17205352,0.11841111,-1.0,19.91,19.55
J1100+0237,165.1637,2.6226,20.54,star,M9.5,,RN,science as tilt; coadd2d,lris-2204,2.479635,31.941647,8.644151,2.864469,9.716478,0.6128,0.1776577,0.25005183,0.08678237,0.24952248,21.2,20.17,20.41
J1111+0640,167.8548,6.6817,20.75,QSO,,6.0,RN,,lris-2204,4.654559,99.93573,5.461831,2.749703,6.926295,0.604792,0.16957249,0.14899541,-1.0,-1.0,21.04,-1.0,-1.0
J1152+0059,178.0774,0.9928,20.3,failed,,,RN,reduction fail due to bright nearby source,lris-2204,2.903681,75.14101,-3.279843,2.808686,-3.225878,0.605864,0.1152096,0.18339679,0.1774116,0.11002993,20.66,20.08,20.26
J1238+0234,189.601,2.5833,20.69,uNQ,,,RN,,lris-2204,1.137889,72.89134,9.164779,2.776395,7.543748,0.583961,0.191065,0.13926303,0.12319657,0.18034221,21.61,20.81,20.21
J1253-0200,193.3015,-2.0114,21.22,uNQ,,,RN,,lris-2204,1.244154,106.52594,5.420058,1.925012,2.104805,0.498752,0.1247793,0.09086518,-1.0,0.115400866,20.98,-1.0,20.41
J1317-0302,199.3735,-3.0466,20.98,star,M4.5,,RN,,lris-2204,2.480017,90.68494,4.949327,2.929391,7.037931,0.655318,0.12201658,0.20246388,0.18993036,0.20000887,21.1,20.86,20.79
J1340+1422,205.1192,14.3791,21.08,uNQ,,,RN,,lris-2204,1.492969,72.79135,6.358999,3.355894,4.915613,0.751159,0.18119709,-1.0,-1.0,0.23991877,-1.0,-1.0,20.7
J1349+0805,207.3444,8.0848,20.87,uNQ,,,RN,,lris-2204,1.613068,37.832314,9.554746,3.40585,8.907,0.751244,0.17275769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1351+0128,207.8848,1.4694,20.85,star,M8,,RN,,lris-2204,2.143609,143.73032,4.877018,3.127796,5.788605,0.700027,0.09058416,0.2007925,0.158061,0.13615005,21.05,21.03,20.66
J1352+0002,208.0073,0.0402,20.82,star,M9,,RN,,lris-2204,1.844447,99.69444,7.041535,3.125082,4.07827,0.7144,0.17384002,0.09592877,0.09122497,0.122892134,20.95,20.54,20.43
J1401+4542,210.3369,45.7148,-1.0,QSO,,5.5,AG,,lris-2204,3.443568,126.699646,8.721699,4.401647,7.9567,1.16914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1426+0148,216.5661,1.8117,21.34,star,M6,,RN,,lris-2204,1.875184,54.11531,5.033369,3.281253,3.032962,0.715941,0.14015603,0.17687458,0.12840427,0.25777936,21.59,20.99,21.05
J1429+0219,217.3907,2.3227,21.29,star,M9.5,,RN,,lris-2204,1.653105,123.63518,6.102445,3.405717,6.758369,0.745096,0.12622945,0.1561987,0.12864445,0.16618404,21.44,20.81,20.72
J1432+0015,218.0553,0.2631,21.47,failed,,,RN,reduced 2d looks bad; not qso from raw image,lris-2204,1.766161,75.52594,3.570742,3.213573,2.808286,0.699199,0.13420753,0.14551124,-1.0,0.20899026,21.66,-1.0,21.33
J1434+0240,218.6668,2.6782,21.46,star,M8,,RN,,lris-2204,1.681668,87.05466,5.096753,3.444809,4.373536,0.729789,0.18645644,0.15056588,0.20545065,0.28762728,21.35,20.96,21.33
J1437-0151,219.3224,-1.8607,21.56,failed,,,RN,reduction fail due to bright nearby source; not quasar from 2d,lris-2204,1.474039,189.99454,2.121974,3.491737,2.036418,0.723561,0.16942163,-1.0,0.19058238,0.28926936,-1.0,21.33,21.52
J1438-0103,219.7245,-1.0571,20.84,uNQ,,,RN,71-72 wrong PA (don't use),lris-2204,1.648143,94.4045,12.582917,3.032898,17.706415,0.661526,0.17827189,0.18939641,0.1301902,0.07979595,21.64,20.08,20.09
J1441+0149,220.4742,1.8176,21.24,uNQ,,,RN,,lris-2204,2.180129,30.927826,5.0365,3.309897,7.59174,0.697312,0.10408981,0.15334268,0.19568343,0.1850776,21.52,21.38,21.01
J1450+0228,222.5056,2.4722,21.6,uNQ,,,RN,reduction fail due to bright nearby sourcer; not quasar from 2d,lris-2204,1.702945,84.49658,2.998084,3.584122,6.009943,0.795497,0.16346207,0.17236544,0.26602027,-1.0,21.71,21.75,-1.0
J1508-0109,227.1612,-1.1622,21.59,uNQ,,,RN,,lris-2204,1.917772,50.43319,3.627138,3.216316,2.830453,0.687453,0.15918957,0.105934136,0.20045649,0.2629213,21.4,21.36,21.44
J1513-0059,228.267,-0.9837,21.03,star,M7,,RN,,lris-2204,1.815072,106.44976,4.541496,3.154429,4.032733,0.669536,0.10003531,0.10352105,0.13311456,0.19642828,21.29,20.85,20.82
J1523+2935,230.8778,29.5944,20.07,QSO,,5.7,AG,,lris-2204,7.896707,53.70694,9.772573,4.171184,11.621957,1.040296,0.099173464,0.15636612,-1.0,0.14925799,20.26,-1.0,19.91
J1532-0155,233.037,-1.9186,21.04,star,M8,,RN,didn't apply offset,lris-2204,2.043468,43.688477,5.792417,3.121318,10.365778,0.665702,0.14126365,0.12168175,0.18499482,0.14680998,21.29,20.73,20.6
J1535+6145,233.9451,61.7665,-1.0,uNQ,,,AG,,lris-2204,2.353983,97.10849,5.186718,7.311384,3.098831,2.298356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1625+2414,246.4992,24.2385,20.99,uNQ,,,RN,,lris-2204,1.109467,50.49707,10.750278,3.763379,11.884199,1.052044,0.18816113,-1.0,-1.0,0.18296681,-1.0,-1.0,20.1
J2212+2040,333.1367,20.6692,-1.0,uNQ,,,FW,no LRIS flux; extended from FIRE observation; nires-1905; mosfire-2005; mosfire-2010,lris-2204,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0007+2517,1.878,25.287,-1.0,failed,,,,cannot identify the target,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0022-0713,5.6428,-7.2175,-1.0,failed,,,,affected by the acq box,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0058+1715,14.5656,17.2553,-1.0,uNQ,,,,,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0208+1749,32.2412,17.8289,-1.0,uNQ,,,,,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0239-1026,39.903,-10.4383,-1.0,failed,,,,"sky subtraction fails, probably due to wrong tilt solution",mosfire-1911,0.252257,140.92023,5.409538,3.271692,3.77759,0.722071,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0313-1806,48.4327,-18.1101,-1.0,QSO,,7.64,known qso,,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0426+0221,66.7353,2.3649,-1.0,inconclusive,,,,~9750A,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0427+0327,66.8532,3.4607,-1.0,failed,,,,might be wrong position according to obs note,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2132-1434,323.1339,-14.5755,-1.0,uNQ,,,,,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2140+1608,325.1548,16.137,-1.0,failed,,,,no trace,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2245+2709,341.3624,27.1512,-1.0,failed,,,,no trace,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2250-0859,342.551,-8.9954,-1.0,failed,,,,there are traces but might not be the target,mosfire-1911,1.172134,31.271854,9.082687,2.295321,9.274144,0.515813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2258-1540,344.7389,-15.6671,-1.0,uNQ,,,,,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J2333-1456,353.3177,-14.9433,-1.0,failed,,,,there are traces but might not be the target,mosfire-1911,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
