t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SDSSJ094358.38+052422.6  ,4.587,145.99325,5.4062861,-999999500,-999999500,0.454546,1309.9364,483.74158,3.022961,0.629711,115.397026,4.700353,8.869887,10.587502,9.941149,23.356056,20.819674,20.130205,19.938017,20.006409,0.08313545008135056
SDSSJ081806.87+071920.2  ,4.6  ,124.5286667,7.3223028,17.632437,0.021933,2.981932,700.1777,110.11484,2.100696,0.536989,59.8483,22.6291,48.83043,38.557446,40.369278,21.313755,19.11333,18.278275,18.534729,18.484873,0.07519070293435597
SDSSJ083616.19+214847.8  ,4.6  ,129.0674583,21.8132889,,,0.257267,2468.1118,411.55566,2.432317,0.569675,121.304855,5.587656,24.638414,18.481108,17.197977,23.97404,20.631926,19.020967,19.33318,19.411306,0.09725543447279925
SDSSJ091139.61+231327.6  ,4.625,137.9150417,23.2243611,19.274683,0.17646,0.103614,393.04602,161.5229,2.823902,0.657734,19.276299,3.009973,15.169567,8.234229,5.591909,24.961458,21.303593,19.547567,20.210943,20.6311,0.16423956850237825
SDSSJ083513.12+193706.1  ,4.631,128.8047083,19.6183639,,,0.785814,730.04346,235.80396,2.33785,0.560067,57.440586,6.510885,33.4847,24.262915,12.396879,22.761702,20.4659,18.687883,19.037643,19.76672,0.06760123204903136
SDSSJ082155.57+260103.2  ,4.644,125.4815833,26.0175833,18.564716,0.053808,0.77067,938.40625,170.85435,2.354403,0.592014,55.322327,8.57925,28.815563,19.319021,14.8665,22.78283,20.166376,18.850933,19.285038,19.569479,0.07354791407596144
SDSSJ074853.86+170829.8  ,4.649,117.2244583,17.1416361,19.2511,0.100938,0.389995,1302.0286,381.70105,2.434747,0.588765,103.798096,5.513166,18.449852,15.819832,10.097878,23.522354,20.646498,19.335018,19.501995,19.989426,0.08415605875350807
SDSSJ092303.52+024739.6  ,4.65 ,140.7647083,2.7943556,18.791763,0.035975,0.385958,986.87317,421.51648,2.787789,0.669018,74.33696,4.935543,16.67363,14.52281,9.374397,23.53365,20.766663,19.444925,19.594873,20.07014,0.05694396657565448
SDSSJ093508.50+080114.5  ,4.655,143.7854167,8.0207,18.436245,0.058203,0.555106,1710.5933,519.3939,2.513092,0.61373,117.14631,5.598678,26.220036,22.147663,13.965169,23.139061,20.629786,18.953417,19.13668,19.637384,0.05115297545694574
C-COSMOS00781            ,4.66 ,150.1009167,2.4194944,,,0.025713,2763.6487,1177.5737,2.799356,0.634692,234.55473,0.77684,12.324187,10.223385,1.409533,26.474634,22.774172,19.773104,19.976013,22.127312,0.2952296339138132
SDSSJ104134.96+241728.8  ,4.665,160.3957083,24.2913528,18.78479,0.086455,0.418847,861.77893,213.36882,2.901686,0.675516,71.62415,5.552011,22.627092,20.489532,10.206971,23.444862,20.638874,19.113428,19.22117,19.977758,0.15582430775018818
SDSSJ080023.01+305101.2  ,4.674,120.095875,30.85035,18.020973,0.047349,0.426878,1303.0773,370.84848,2.116893,0.564823,80.6823,13.721743,48.75233,37.44153,28.532915,23.42424,19.656477,18.280012,18.566616,18.861635,0.13100726308174357
SDSSJ102119.16-030937.2  ,4.696,155.3298333,-3.1603333,,,0.330834,1425.8844,427.67554,2.695901,0.617854,133.49866,4.495128,22.533669,19.609829,9.894002,23.700975,20.868145,19.11792,19.268816,20.01157,0.0769199219889543
SDSSJ093412.85+294524.3  ,4.722,143.5535833,29.7567694,18.905958,0.094548,0.383158,1344.6469,713.32666,2.937125,0.650094,112.716484,4.511971,14.662364,12.081632,11.218296,23.541553,20.864084,19.58449,19.794685,19.875183,0.01577488397788939
SDSSJ090950.05-011212.3  ,4.73 ,137.4585417,-1.2034278,19.66677,0.101594,0.118792,1796.9794,628.1683,2.49513,0.593408,168.05682,2.175981,8.579407,6.397371,5.250928,24.813036,21.655863,20.166357,20.484997,20.69941,0.1657550816815775
SDSSJ084631.52+241108.3  ,4.731,131.631375,24.1856583,18.224737,0.053236,0.362694,2133.9182,604.549,2.239866,0.545566,135.56725,9.350763,48.051292,38.89583,17.93747,23.60115,20.072882,18.295738,18.525242,19.365597,0.04390460715023972
