t1_name,t1_ra,t1_dec,t1_jab,t1_source,t1_type,t1_obs,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
J134028.617+142244.748,205.119237,14.3790966,21.077648,Nanni,unknown,lris2204,0.020027,1369.3116,305.1359,3.355894,0.751159,72.79135,0.128449,6.358999,4.915613,1.492969,26.74596,24.728172,20.491528,20.771055,22.064873,0.21480740699558806
J134922.649+080505.212,207.3443697,8.0847812,20.871397,Nanni,unknown,lris2204,0.022195,629.6694,221.42395,3.40585,0.751244,37.832314,0.073752,9.554746,8.907,1.613068,26.634361,25.330563,20.049452,20.125671,21.980867,0.421624623319325
J135132.346+012809.719,207.8847743,1.4693663,20.876961,Nanni,M9,lris2204,0.014315,3241.2837,997.0232,3.127796,0.700027,143.73032,0.033501,4.877018,5.788605,2.143609,27.110506,26.187344,20.779613,20.593565,21.672136,0.17902486662600145
J135201.743+000224.784,208.0072622,0.0402179,20.6999,Nanni,M9,lris2204,0.082876,840.29663,339.59442,3.125082,0.7144,99.69444,-0.001796,7.041535,4.07827,1.844447,25.203926,NaN,20.38083,20.97381,21.835335,0.3788491405182062
ILTJ1401+4542,210.336917,45.71485,21.1,Anniek,qso,lris2204,0.015959,733.4206,142.23193,4.401647,1.16914,126.699646,0.141068,8.721699,7.9567,3.443568,26.992455,24.626432,20.148497,20.248167,21.157478,0.04429537358177301
J1423+2901,215.786158,29.026808,20.7,Wang,unknown,lris2204,,,,,,,,,,,,,,,,
J142615.867+014842.065,216.566112,1.8116847,21.363402,Nanni,unknown,lris2204,0.066469,641.25854,211.18379,3.281253,0.715941,54.11531,0.197404,5.033369,3.032962,1.875184,25.443455,24.261608,20.745354,21.295332,21.81739,0.050819602702193344
J142933.775+021921.760,217.390728,2.3227112,21.315472,Nanni,unknown,lris2204,0.050955,1641.1519,423.7053,3.405717,0.745096,123.63518,0.113696,6.102445,6.758369,1.653105,25.732035,24.860636,20.53624,20.425396,21.954248,0.08636046184835963
J143213.277+001547.307,218.0553188,0.2631408,21.495863,Nanni,unknown,lris2204,0.034236,1154.0039,466.8133,3.213573,0.699199,75.52594,0.055278,3.570742,2.808286,1.766161,26.16379,25.643625,21.118103,21.378897,21.882425,0.16376509334527126
J143440.038+024041.375,218.6668256,2.6781596,21.478136,Nanni,M9,lris2204,0.012254,1429.1469,573.75385,3.444809,0.729789,87.05466,-0.00595,5.096753,4.373536,1.681668,27.279346,NaN,20.731766,20.897919,21.93565,0.17498497408881014
J143717.365-015138.421,219.3223548,-1.8606724,21.685091,Nanni,problematic,lris2204,0.010814,2008.7633,743.624,3.491737,0.723561,189.99454,0.016498,2.121974,2.036418,1.474039,27.414997,26.956446,21.68315,21.727833,22.078728,0.19595542954780654
J143853.869-010325.407,219.7244524,-1.0570574,20.842762,Nanni,unknown,lris2204,0.044238,890.9248,293.58942,3.032898,0.661526,94.4045,0.140834,12.582917,17.706415,1.648143,25.885519,24.628233,19.750547,19.379673,21.957514,0.3606502030355804
J144153.799+014903.267,220.4741627,1.8175742,21.26101,Nanni,unknown,lris2204,-0.018479,647.8231,189.14618,3.309897,0.697312,30.927826,0.074263,5.0365,7.59174,2.180129,NaN,25.323065,20.744678,20.299147,21.653795,0.32676321857649343
J145001.337+022819.884,222.505571,2.4721901,21.626286,Nanni,unknown,lris2204,0.006273,813.31036,342.61713,3.584122,0.795497,84.49658,0.028544,2.998084,6.009943,1.702945,28.00627,26.36121,21.30789,20.552824,21.921999,0.11045944626591597
J150838.683-010943.751,227.1611779,-1.162153,21.616322,Nanni,unknown,lris2204,0.031713,1720.9967,416.8033,3.216316,0.687453,50.43319,0.015922,3.627138,2.830453,1.917772,26.246897,26.994986,21.10109,21.37036,21.793007,0.16031938983905197
J151304.074-005901.263,228.2669735,-0.9836841,20.833979,Nanni,M7,lris2204,-0.004071,4012.9048,892.04846,3.154429,0.669536,106.44976,0.079633,4.541496,4.032733,1.815072,NaN,25.247261,20.857002,20.986002,21.852766,0.10274134186184201
ILTJ1523+2935,230.877792,29.594353,20.2,Anniek,qso,lris2204,0.027477,977.05316,322.58572,4.171184,1.040296,53.70694,0.721375,9.772573,11.621957,7.896707,26.40257,22.854597,20.024977,19.836802,20.256386,0.06592862554518748
J153208.884-015507.110,233.0370173,-1.9186418,21.066138,Nanni,M8,lris2204,-0.007648,1013.8326,518.4695,3.121318,0.665702,43.688477,0.058344,5.792417,10.365778,2.043468,NaN,25.585018,20.59285,19.960995,21.724081,0.09872573061686012
ILTJ1535+6145,233.945083,61.7665,21.5,Anniek,M4.5,lris2204,0.053353,616.09,232.10872,7.311384,2.298356,97.10849,0.099632,5.186718,3.098831,2.353983,25.682096,25.004004,20.712769,21.272005,21.570492,0.034266164605622956
J162559.817+241418.659,246.4992391,24.2385165,20.993569,Nanni,L0.5,lris2204,-0.015088,2506.798,597.94183,3.763379,1.052044,50.49707,0.095604,10.750278,11.884199,1.109467,NaN,25.048807,19.921452,19.812574,22.387213,0.07529524976449561
J1635+5940,248.785771,59.678791,20.8,Wang,unknown,lris2204,0.046248,435.46094,147.1483,5.347517,1.736348,39.482506,0.105547,22.160854,23.374502,1.562838,25.837261,24.941385,19.136034,19.078144,22.015215,0.3539522168935409
J2212+2040,333.136692,20.669195,20.3,Wang,inconclusive,lris2204,,,,,,,,,,,,,,,,

