#ID , RA , DEC , z , Discovery Ref ,,,,
J022743.29-060530.20,02:27:43.29,-06:05:30.20,6.2,Willott09,,,,
J021721.59-020852.60,02:17:21.59,-02:08:52.60,6.20,Matsuoka17,,,,
J104429.18+010207.10,10:44:29.18,+01:02:07.10,6.20,Matsuoka21,,,,
J104845.05+463718.30,10:48:45.05,+46:37:18.30,6.198,Fan03,,,,
J091833.17+013923.30,09:18:33.17,+01:39:23.30,6.19,Matsuoka18,,,,
J151248.71+442217.50,15:12:48.71,+44:22:17.50,6.19,Matsuoka19b,,,,
J104740.91+041724.30,10:47:40.91,+04:17:24.30,6.19,Matsuoka21,,,,
J042138.05-265715.61,04:21:38.05,-26:57:15.61,6.1877,Banados16,,,,
J223212.03+001238.40,22:32:12.03,+00:12:38.40,6.18,Matsuoka16,,,,
J142517.72-001540.90,14:25:17.72,-00:15:40.90,6.18,Matsuoka17,,,,
J040212.69+245124.43,04:02:12.69,+24:51:24.43,6.18,Banados16,,,,
J084408.61-013216.50,08:44:08.61,-01:32:16.50,6.18,Matsuoka18,,,,
J225520.78+050343.30,22:55:20.78,+05:03:43.30,6.18,Matsuoka19b,,,,
J102047.40+042946.70,10:20:47.40,+04:29:46.70,6.18,Matsuoka21,,,,
J235632.45-062259.26,23:56:32.45,-06:22:59.26,6.1722,Wang16,,,,
J022122.71-080251.50,02:21:22.71,-08:02:51.50,6.16,Willott10,,,,
J160937.27+304147.70,16:09:37.27,+30:41:47.70,6.16,Jiang16,,,,
J220132.07+015529.00,22:01:32.07,+01:55:29.00,6.16,Matsuoka17,,,,
J114632.66-015438.30,11:46:32.66,-01:54:38.30,6.16,Matsuoka18,,,,
J093551.64+034847.20,09:35:51.64,+03:48:47.20,6.16,Matsuoka21,,,,
J221917.22+010248.90,22:19:17.22,+01:02:48.90,6.156,Kashikawa15,,,,
J222901.65+145709.00,22:29:01.65,+14:57:09.00,6.1517,Willott10,,,,
J083400.88+021146.90,08:34:00.88,+02:11:46.90,6.15,Matsuoka18,,,,
J090921.50+044042.90,09:09:21.50,+04:40:42.90,6.15,Matsuoka18,,,,
J134733.69-015750.60,13:47:33.69,-01:57:50.60,6.15,Matsuoka19b,,,,
J115924.01+020041.80,11:59:24.01,+02:00:41.80,6.15,Matsuoka21,,,,
