Name,dist_off,,Plan,JAB_off,Observing notes,Daming's notes,RA,DEC,JAB,Priority,ra_off,dec_off,Flag,Image_Note
J100350.936+542406.757,66.96271575,372.0150875,,18.53792,,,150.9622353,54.401877,20.24382,2,150.9307471,54.405053,UHS,
J121819.170+525433.976,40.82778588,226.8210327,,16.848807,,,184.579874,52.9094378,20.879463,2,184.5778491,52.9207116,UHS,
J141445.218+324051.696,35.21203913,195.6224396,1,17.847542,Junk,,213.6884071,32.6810268,20.285935,1,213.6799224,32.6743437,UHS,Best target
J142419.149+462849.292,32.00013281,177.7785156,,17.574005,,,216.0797867,46.480359,19.920773,2,216.0681769,46.4842458,UHS,
J142448.753+252750.312,32.90742925,182.8190514,,16.955893,,,216.2031382,25.4639756,20.69041,2,216.2104304,25.4703167,UHS,
J144739.953+583902.829,58.91402549,327.3001416,,17.720618,,,221.9164713,58.6507858,20.926527,2,221.8959713,58.6383752,UHS,
J150653.403+331643.846,48.54574029,269.6985571,1 (2 seq.),17.257881,,"cannot see traces in 2d (two traces in the target's position); the traces are both extremely faint, probably due to bad weather; inconclusive",226.7225136,33.2788462,20.42541,1,226.7202131,33.2921924,UHS,Best target
J154404.661+313846.709,87.46485008,485.9158338,,17.729967,,,236.0194208,31.646308,20.152708,2,236.0059456,31.6248927,UHS,
J003836.104-152723.670,21.0230,116.794665,,18.24,,,9.65043282,-15.456575,19.69,0,9.6487639,-15.46219,Quasar,
J025216.655-050331.912,46.7590,259.7721817,,16.74,,,43.0693952,-5.0588646,20.20,0,43.0723641,-5.0715107,Quasar,
J031343.839-180636.404,20.3614,113.11886,8 seq.,15.43,,,48.4326605,-18.110112,20.92,0,48.4331215,-18.104474,Quasar,
J100758.264+211529.207,51.8055,287.8083422,,19.35,,,151.992765,21.2581131,20.22,0,152.004389,21.2675841,Quasar,
J112001.482+064124.302,14.5830,81.01676389,,15.63,,,170.006175,6.69008376,20.35,0,170.002433,6.69169375,Quasar,
J134208.101+092838.542,20.3692,113.1622222,,17.2,,,205.533772,9.477391,20.7,0,-11.43,-16.86,Quasar,
,,,,,,,,,,,,,,
Seeing=0.4 in J at beginning night,,,,,,,,,,,,,,
